date,port_ret,spy_ret,ndx_ew_ret,w_equity,persona
2024-03-18,-0.030850436758751425,-0.024002620881017678,-0.029469920322299004,0.367076575756073,aggressive_macro
2024-04-17,0.05368199932636336,0.056218057708304014,0.06189514696598053,0.546829342842102,aggressive_macro
2024-05-16,0.01931783515476876,0.034822106799824004,0.021533606573939323,0.2245405912399292,aggressive_macro
2024-06-17,0.007242355269387717,0.013421499306560891,0.0035400460474193096,0.26295506954193115,aggressive_macro
2024-07-18,0.01959384889522139,0.002985626057260937,-0.009823696687817574,0.4389919452369213,aggressive_macro
2024-08-16,0.03434218719395864,0.015803349718602533,0.011892442591488361,0.37325069308280945,aggressive_macro
2024-09-17,-0.015513168257704091,0.037324148240666766,0.039517778903245926,0.5915557593107224,aggressive_macro
2024-10-16,-0.009746040980201143,0.01897648560565557,0.03192971646785736,0.49242856726050377,aggressive_macro
2024-11-14,-0.006269103892973019,0.022650900852194678,0.019154509529471397,0.3267287462949753,aggressive_macro
2024-12-16,-0.042269212584784166,-0.011863440272441905,-0.021952958777546883,0.3530423939228058,aggressive_macro
2025-01-17,0.02482095476521845,0.025686692762080687,0.04020904004573822,0.20168587565422058,aggressive_macro
2025-02-19,0.013745958295393074,-0.07739869157121648,-0.09767316281795502,0.16029062867164612,aggressive_macro
2025-03-20,-0.07855675548189148,-0.08853230669042911,-0.09324852377176285,0.3318462073802948,aggressive_macro
2025-04-21,0.15090342756637237,0.15367389542850907,0.19445781409740448,0.5505310259759426,aggressive_macro
2025-05-20,0.019425387689541156,0.005375690740398564,0.004300388507544994,0.25607314705848694,aggressive_macro
2025-06-20,0.02631282507165635,0.05818796527220571,0.05558585375547409,0.3919640928506851,aggressive_macro
2025-07-22,-0.008157308914833399,0.014709140920853292,-0.02492564357817173,0.22875821590423584,aggressive_macro
2025-08-20,0.04274434012701675,0.042986508702280046,0.024251354858279228,0.2645111083984375,aggressive_macro
2025-09-19,0.029612886455560372,0.011450932713913176,0.02200683206319809,0.18207773566246033,aggressive_macro
2025-10-20,-0.029242460369635286,-0.016713839104248618,-0.035548437386751175,0.41249631345272064,aggressive_macro
2025-11-18,0.017996894996792634,0.024830205200725652,0.03781163692474365,0.34400780498981476,aggressive_macro
2025-12-18,0.007596828011765176,0.016194917602586623,0.03232996538281441,0.2842140942811966,aggressive_macro
2026-01-21,-0.004856508501255369,0.005879824161217018,-0.03012305498123169,0.17205289006233215,aggressive_macro
2026-02-20,-0.011779774687930303,-0.04679255647361391,-0.026164498180150986,0.38952454924583435,aggressive_macro
2026-03-23,0.10867459768755297,0.08518729049087437,0.08199328929185867,0.8246634602546692,aggressive_macro
2026-04-22,0.041467446233942724,0.04430466603507699,0.07404693961143494,0.8566941916942596,aggressive_macro
2024-03-18,-0.028361246037275946,-0.024002620881017678,-0.029469920322299004,0.7416533380746841,baseline_conservative
2024-04-17,0.054757216961350934,0.056218057708304014,0.06189514696598053,0.5755196660757065,baseline_conservative
2024-05-16,0.015637779167010764,0.034822106799824004,0.021533606573939323,0.6696460843086243,baseline_conservative
2024-06-17,0.01976938447231888,0.013421499306560891,0.0035400460474193096,0.6828814446926117,baseline_conservative
2024-07-18,0.011649740286302033,0.002985626057260937,-0.009823696687817574,0.5765357315540314,baseline_conservative
2024-08-16,0.03192803470454519,0.015803349718602533,0.011892442591488361,0.6819473654031754,baseline_conservative
2024-09-17,-0.0030865669123794947,0.037324148240666766,0.039517778903245926,0.7887816429138184,baseline_conservative
2024-10-16,0.012873902189425256,0.01897648560565557,0.03192971646785736,0.7680675685405731,baseline_conservative
2024-11-14,-0.018489032195419718,0.022650900852194678,0.019154509529471397,0.732047975063324,baseline_conservative
2024-12-16,-0.05212689365946368,-0.011863440272441905,-0.021952958777546883,0.7274109125137329,baseline_conservative
2025-01-17,0.04829708367011735,0.025686692762080687,0.04020904004573822,0.6520611643791199,baseline_conservative
2025-02-19,-0.047558185822536944,-0.07739869157121648,-0.09767316281795502,0.5901549160480499,baseline_conservative
2025-03-20,-0.09655668273655946,-0.08853230669042911,-0.09324852377176285,0.5858793705701828,baseline_conservative
2025-04-21,0.10852948854323793,0.15367389542850907,0.19445781409740448,0.39990653097629547,baseline_conservative
2025-05-20,0.025338609254500676,0.005375690740398564,0.004300388507544994,0.6124553233385086,baseline_conservative
2025-06-20,0.032405853875297166,0.05818796527220571,0.05558585375547409,0.4947544299066067,baseline_conservative
2025-07-22,-0.033351179071665085,0.014709140920853292,-0.02492564357817173,0.6210144609212875,baseline_conservative
2025-08-20,0.06442157750451738,0.042986508702280046,0.024251354858279228,0.6534282714128494,baseline_conservative
2025-09-19,0.026013647231280575,0.011450932713913176,0.02200683206319809,0.6544011980295181,baseline_conservative
2025-10-20,-0.032857420523102386,-0.016713839104248618,-0.035548437386751175,0.7396170794963837,baseline_conservative
2025-11-18,0.02943632980499739,0.024830205200725652,0.03781163692474365,0.5021046660840511,baseline_conservative
2025-12-18,0.030315315283194817,0.016194917602586623,0.03232996538281441,0.71295166015625,baseline_conservative
2026-01-21,-0.06870124837784064,0.005879824161217018,-0.03012305498123169,0.5172032788395882,baseline_conservative
2026-02-20,-0.003803676801667737,-0.04679255647361391,-0.026164498180150986,0.5465633757412434,baseline_conservative
2026-03-23,0.061381632479142315,0.08518729049087437,0.08199328929185867,0.4408411793410778,baseline_conservative
2026-04-22,0.02399397554233025,0.04430466603507699,0.07404693961143494,0.6363431364297867,baseline_conservative
